,hotel_name,rating,review
65,Anjiamarango Beach Resort,5,Good food and accommodation. Great staff who is always friendly and helpful. Beautiful scenery and close to the sea. Really a great place to relax and rest.
66,Anjiamarango Beach Resort,5,Philippe is a fantastic host. Nothing was too much trouble for him. Chalets very comfortable. Did not miss not having hot water. Excursions were all amazing. Massages were so good we each had four in seven days. Next time we will stay longer!!!
67,Anjiamarango Beach Resort,4,Quiet and relaxing place. Great meals.
68,Anjiamarango Beach Resort,5,"Phenomenal place, cannot recommend highly enough. This is The place to unwind, relax and enjoy the peace and quiet. There was not one part of our stay that should have been different."
69,Anjiamarango Beach Resort,4,"The best place to be in that island, if it's not the only. There will be things you'll be disturb about it like: the traveling vichles that you promised with is not true, will hurt your back and tired your whole body , some places you will not visit as the backagge point out. Be aware of what you pay.."
70,Anjiamarango Beach Resort,4,"It's really great for a holiday as it is quiet and peaceful. Not too busy or touristy like the cities. However, there is no hot shower so just take note and request for hot water to be taken to your banglow if you need it."
71,Anjiamarango Beach Resort,5,"Loved the secluded beach, all the activities that were organised from the hotel reception, absolute friendly and professional staff and overall pampered experience!"
72,Anjiamarango Beach Resort,5,What an amazing experience. The staff are so friendly and they go out of their way to make you as comfortable as possible. The accommodation is great. The restuarant has a wide variety of dishes to choose from. There are fantastic …
73,Isalo Rock Lodge,4,"The place is really top top top!
The only thing is: the internet in the room doesn’t work. And no mobile network too. The rooms are shockingly good! If you want to go to the park, ask for the guide named Xavier: this guy is just amazing and you will have lots of fun during the excursion!"
74,Isalo Rock Lodge,5,"Second time we stayed here and it is simply an amazing place. A must do, the view, the staff, the rooms. We highly recommend this place, we tried all the other hotels around the area but this one a gem."
75,Isalo Rock Lodge,5,"After a hard a long day road on the N7, you finally get to see the first shape of Isalo National Park and its really shredded Rocky Mountains. And at the end of this road, Isalo Rock lodge , astonishing and breathtaking place. Well located, …"
76,Isalo Rock Lodge,4,Luxurious
77,Isalo Rock Lodge,5,"We had a great, spacious room. Upkeep was perfect at this hotel, it looked brand new. Our bed was comfortable. We had a Jacuzzi room, it was perfect and we could see the TV while sitting in the hot tub. We liked that! It was a quiet hotel …"
78,Isalo Rock Lodge,5,"The best hotel we had in Madagascar. Such great rooms and peaceful. Manager and staff were so kind and helpful. Paid 460 Ariari for super room with electricity 24/7. Only downside is the special bath (not the shower) had no warm water, they said maybe next year."
79,Isalo Rock Lodge,5,"Amazing design, local maintenance. Overall great place to stay."
80,Isalo Rock Lodge,5,Gorgeous.. hike without a guide. Kill for the sunset from the top of the rock
81,Isalo Rock Lodge,4,A well laid out Lodge with experienced courteous friendly staff. Great location with excellent rooms. Only let down is the restaurant food tends to be limited in scope
82,Isalo Rock Lodge,4,"Beautiful hotel with nice design on the room, but when you book the best room and the bathtube hasn’t have hot water, it’s just absolutely not normal for this kind of hotel. Especially when you have hot water on shower 🚿. Restaurant is …"
83,ZARA Village,5, Magical place
84,ZARA Village,5, beautiful and authentic place
87,NOVOTEL Convention And Spa (Opening January 2020),3,"Overpriced for what it is for. We did the hibachi, although the food was good, the experience of the hibachi was not what it should be... Only lighting up fire and playing with the eggs and that's it? Please make sure to make the show …"
88,NOVOTEL Convention And Spa (Opening January 2020),4,Big
89,NOVOTEL Convention And Spa (Opening January 2020),1,stop with the fake review
90,NOVOTEL Convention And Spa (Opening January 2020),2, Nice rooms ... But comfort is spoiled by inefficient air conditioning !! Very difficult to sleep with 26 ° ...: ((
91,NOVOTEL Convention And Spa (Opening January 2020),2,"(Translated by Google) No complaints about the rooms, perfect.
On the other hand in terms of catering, I would have liked the prawns to be fresh, the canapota to be less fatty (too much oil and sauces) and that you really …"
92,NOVOTEL Convention And Spa (Opening January 2020),5, Luxurious hotel. Welcoming and professional staff
93,NOVOTEL Convention And Spa (Opening January 2020),5,"(Translated by Google) Amazed to see little notes! It is great luxury! Careful staff, great comfort, very design and quality.
Small flat, the windows do not open, completely non-smoking hotel. …"
94,NOVOTEL Convention And Spa (Opening January 2020),3,"(Translated by Google) The hotel is very new, therefore comfortable and in good condition.
The staff are frankly very friendly. Wherever you are, you have the impression …"
95,NOVOTEL Convention And Spa (Opening January 2020),5, Wonderful hotel with superb welcome
96,NOVOTEL Convention And Spa (Opening January 2020),5," I stayed at this establishment for business reasons. The place is great, located in a safe area near the expat area. As for the hotel, the staff are very nice and helpful. He speaks French very well. The rooms are"
97,Chambre d'hôtes Valiha Ivato,5,"(Translated by Google) April 2021 stay, one week with breakfast and meals, close to the airport
very warm welcome, attentive, accommodating, available, …"
98,Chambre d'hôtes Valiha Ivato,4," The owner couple is very dedicated and of a kindness that is more pleasant. I actively recommend them, the places are really nice"
99,Chambre d'hôtes Valiha Ivato,5, Superb!
100,Hôtel Mahajanga - Andafirôï Écolodge Resort,5, Very good stay at Ecolodge Andafirôï in Mahajanga in a paradisiac place!
101,Hôtel Mahajanga - Andafirôï Écolodge Resort,5," Calm place, interesting discoveries. The meals are very good"
102,Hôtel Mahajanga - Andafirôï Écolodge Resort,5," Very good stay at Andafirôï Lodge Resort in Mahajanga! We discovered the region and the animals of the forest (especially the lemurs of Madagascar), great experience and great staff."
104,BUNGALOW FINARITRA,5," In the middle of the Andasibe Nature Reserve, east of Madagascar. Preserved place still seen its situation. There are many endemic animals such as lemurs. To see at least once in his life."
105,BUNGALOW FINARITRA,5," Quiet, clean with parking and in addition the price is affordable. I highly recommend it to you. Thank you"
106,BUNGALOW FINARITRA,5," Very quiet, I enjoyed the secure parking very much"
107,BUNGALOW FINARITRA,5, I had a good rest during my visit to Toamasina
108,BUNGALOW FINARITRA,4, Luxurious
111,Hotel Carlton,1,DO NOT COME HERE THERE IS RATS AND THE ROOM SERVICE GUY WAS SNIFFING MY CHIDREN
112,Hotel Carlton,4,The view is super and the environment very neat. Hospitality good to go.
113,Hotel Carlton,4,"Nice location with a nice views on Anosy lake. Food is not good. Rooms are clean. For food, I would recommend the Citizen which is on the other side of the lake, plus it is cheaper and super super good!"
114,Hotel Carlton,4,"Great entertainment over New Year's eve. The band was superb, played and sung to music from all over the world. Friendly staff that can speak both English and French. The food wasn't that great but the ambiance was excellent."
115,Hotel Carlton,5,"It's a very good hotel. Secured, clean, excellent service. You can change money at the reception and there is a good bar and restaurant at the hotel. Most recommended for stay at Tana in Madagascar."
116,Hotel Carlton,4,"Travel Back in Time to Classic Tana- once a very extravagant and spared-no-expense Hilton Hotel in the 1960s, in modern times the hotel has aged to a point no renovation can mask. However, it still has a classic elegant charm. Rooms are …"
117,Hotel Carlton,5,"I stayed here for 2weeks during my trip to Madagascar. It's a very cool hotel, with great room service, restaurants, bars, gym, gift shops and a night club. It was quite close to my office so I could simply walk and not have to beat the traffic. Will recommend to anyone visiting Tana"
118,Hotel Carlton,4,"Although the furniture and the decoration is a bit old, the hotel in general is very clean and quiet. Located, just at the heart of the Lower city. The breakfast is however kind of poor and it can be improved. Free wifi is working without problem. I didn't use the pool but it looks clean and well maintained as well."
119,Hotel Carlton,4,"5 star luxury hotel by the ritz group in Antananarivo, madagascar.
Well maintained and spacious property, but the lighting in the rooms is warm and …"
120,Hotel Carlton,4,"Located in the center of Antananarivo, it is easy to spot as it is one of the few tall buildings in the area. In terms off accommodation it is up to satisfactory standards. If you go down to the restaurant, I especially recommend the sea bream fish which was quite delicious."
121,Le Zahir Lodge,4,"Very nice quiet and clean Hotel with a pool.
Front desk and cleaning staff was very friendly. …"
122,Le Zahir Lodge,4, The lodges are few and well cared for in decor and cleanliness. Location close to the sea reachable in a few steps. Excellent cuisine. Friendly and helpful staff. I would go back and recommend it gladly.
123,Le Zahir Lodge,4, Beautiful structure. A series of well-designed bungalows with verandas and kitchenettes arranged around a pool. Good breakfast and food. Access to the beach is easy. Italian owner and manager. For us it was a base
124,Le Zahir Lodge,5," We stayed at the Zahir Lodge for a week in late September, after a week of touring the North… we couldn't have asked for better! An intimate and comfortable place, a few bungalows furnished with care and in style with"
125,Le Zahir Lodge,4, We stayed for a few days and had a great time the place is very nice well kept all very clean the very kind staff the manageress Laura always available for any need you eat well cared for dishes and good advice at
126,Le Zahir Lodge,4, A small resort with Italian owners. The staff is always available and speaks Italian. The kitchen is excellent and the bungalows are very well kept and clean. Too bad for the slightly silty sea water. The location is
127,Le Zahir Lodge,5," Quiet and relaxing place, excellent hospitality and excellent cuisine. Highly recommended !!"
128,Le Zahir Lodge,5," Just returned from a magnificent holiday, lived intensely starting from the structure, to the welcoming and helpful staff. But above all to the manager of the structure Laura who was helpful and friendly."
129,Le Zahir Lodge,4," After my visit to the Zahir nights we were 8 and 3 nights at the Zahir Iranja. We were very good with excellent excursions on the islands Laura organized by the director of the Zahir nosy. Excellent food, care of the"
130,Le Zahir Lodge,4," Resort with luxurious bungalows furnished in lodge style and with local Malagasy crafts. Very very beautiful! The main and few bungalows revolve around a pleasant swimming pool. The structure, very clean, is well"
131,Princesse Bora Lodge & Spa,3,"So, positives first:
Nice place, very friendly staff, amazing spa.
Négatives. Their POS accepts no cards. They constantly try to rip you off any …"
132,Princesse Bora Lodge & Spa,5,Well I am always in aw of this place everytime I go here. The property is so charming. If anything you should always end your vacation dinner here.
133,Princesse Bora Lodge & Spa,5,One of the very good lodge for this beatiful Island. European standard services!
134,Princesse Bora Lodge & Spa,4,"Good location if you’re doing excursions or for any diving. Food is good but not amazing, the little touches are what sets it apart from other offerings. For instance, one evening we joined a talk that was being held by one of the marine biologists from the research centre in the lounge."
135,Princesse Bora Lodge & Spa,5,Absolutely amazing! The rooms are very clean and the food is great. They even have a private wine cellar so you can go down anytime and pick a bottle to enjoy. …
136,Princesse Bora Lodge & Spa,5,"My wife and I stayed for only two days, with every intention of relaxing. Better to stay for the week, because there's so much to do, that a short stay will make you sorry that you didn't stay longer. Fifu, the owner, will greet you …"
137,Princesse Bora Lodge & Spa,5,"I really enjoyed the breakfast, the place is very beautiful and the beach is amazing. You can do here shnorcle and diving as well"
138,Princesse Bora Lodge & Spa,5,"Pricy but worth every penny. Very attentive Staff, professional management, really excellent food, good amenities and situated on a beautiful island. Try the complimentary ""garden tour""
Highly recommended"
139,Princesse Bora Lodge & Spa,5,"GRRRRRRR8 time really loved it was planning on honeymooning but my dog ran away. Aside from my soul mate leaving me I had a great time. The Hotel really brought color into my dark grey world. The only problem is when you fly home, you can feel an overwhelming surge of depression clutching your throat."
140,Princesse Bora Lodge & Spa,5,we would bike 30km down the coast just to eat breakfast - the croissants are world class!!
141,Hotel Ambatoloaka,5,realy want to back again shortly
142,Hotel Ambatoloaka,5," Hotel very well located, quite comfortable, friendly staff, helpful. Room sea view, flat screen TV, air conditioning, comfortable bed."
143,Hotel Ambatoloaka,3,"(Translated by Google) Hotel well but need to improve the electricity and the water level when there is cut
I advise you to go there because we had beautiful moments over there …"
144,Hotel Ambatoloaka,4, Hotel still in the end of construction however it is very clean despite the work ... very welcoming and friendly staff .. especially Rudy at the reception ..
145,Hotel Ambatoloaka,1,"(Translated by Google) A shame.hotel in work for months.the boss completely closed to discussion.room paid with telly while there is no TV in the room.
The hotel is new roof is already defective. Trouble lamp that flash all …"
146,Hotel Ambatoloaka,2,"(Translated by Google) Hotel still under construction at the time of my visit.
Friendly and attentive staff.
WIFI at reception only. …"
147,Hotel Ambatoloaka,1, You understand why you are charged the stay in advance. ....... noise of the bars in the room despite a double glazing that is useless. ...... False contacts in LED lamps that light up intermittently in the middle of
148,Hotel Ambatoloaka,3, Very well
149,Hotel Ambatoloaka,3, Inexpensive
151,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4,"We had a great 5 nights, the staff and owners where fantastic very friendly and accommodating"
152,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4,A serene getaway place. And the service is just tres bien!
153,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4," Beautiful home, great breakfast terrace thank you to owner"
154,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,5," Very very well this site, I had a very good holiday"
155,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,5," Impeccable service, welcoming, we return often. Guests put a point of safety and comfort of people"
156,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4,"(Translated by Google) Several types of bungalows for all tastes and all budgets. Prices are good. The kitchen too;)
The staff very friendly! …"
157,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4,"(Translated by Google) Magnificent place 50 m from the lagoon
Clean
Very welcoming staff at your service …"
158,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4,"(Translated by Google) Very pleasant and relaxing stay in a calm and green setting, a stone's throw from the large lagoon, its beach and its charming village.
The charming bungalow and its adjoining bathroom are simple and clean with …"
159,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,5," Everything perfect, exemplary service and excellent cuisine at the best price"
160,Hotel Le Lagon de Foulpointe - Tamatave Madagascar,4, a good address for small budgets like us
161,LAGUNA-BEACH,4,"Close to the beach, it's a good place for a short stay, if you want to visit the town for a weekend"
162,LAGUNA-BEACH,1,It's a nice property. But trash on the ground and beach. The hospitality leaves much to be desired. When we first arrived and checked in we were simply given a key and sent on our way. The AC doesnt work in our room. Next we went to get …
163,LAGUNA-BEACH,1,"Horrible personal!!! We were there for 7 night, they stole our money from our room and manager called us stupid when we were asking for police. I don't recommend this place!"
164,LAGUNA-BEACH,4,Nice swimming pool with direct access to the beach. Good food at La taverne restaurant
165,LAGUNA-BEACH,4,Nice and quite place to spend your holidays. We had no opportunity to try their restaurant
166,LAGUNA-BEACH,4,Still under construction but AC and large rooms. Lots of potential to be very nice when finished.
167,LAGUNA-BEACH,1,electricity always black
168,LAGUNA-BEACH,5," Clean, welcoming person, kitchen open until 10pm for a low season. Infinity pool facing the sea. Deckchair and cushion available free of charge to the client."
169,LAGUNA-BEACH,3, Nice hotel
170,LAGUNA-BEACH,5, M good
171,Le Trianon,5,"Hotel in nice old building, with spacious rooms with a nice ambiance. Rooms have hot water and wifi and if you're lucky even a small balcony. While lonely planet mentions the busy street as downside, this did not bother us at all. Prices are reasonable at 90000Ar for a double."
172,Le Trianon,4,"Despite the older appearance of the hotel, we were happy with the basic amenities that were offered. Water runs hot, and the Wi-Fi connection was the fastest we’ve encountered (even faster than a luxury hotel’s). The staff member speaks …"
173,Le Trianon,4,"Good quality basic hotel, rooms need some improvement, restaurant is very nice. Good creme brulee! Peddlers and rickshaw drivers outside entrance can be bothersome."
174,Le Trianon,1,"The guy in the reception gave us a wrong price for the taxi brousse to fianarantsoa and showed us a wrong Place in the map, where the official station should be. The next day we went to the place where only one unofficial taxi brousse was …"
175,Le Trianon,4,Good restsurant at affordable prices.
176,Le Trianon,4," Comfortable, spacious, good location, very good value for money."
177,Le Trianon,4, Comfortable and spacious hotel. A ttasi9et environment close to everything. Too bad there are only 4 channels on TV.
178,Le Trianon,5," The boss, Dom, is nice and his establishment has a certain charm. The cuisine is varied and tasty. Recommended!"
179,Le Trianon,2, Everything has improved
180,Le Trianon,5, Great quality / price
181,Madagascar Underground,4,"Place quite close to downtown but far at the same time, which provide with both peace and connection to the city. It is placed in a hill next to the centre. Clean place, at least the independent high house on the stairs, rustic and very authentic. Staff is quite nice and a good local breakfast can be arranged."
182,Madagascar Underground,2,"The only normal option for staying at Tana. Still, dorms and rooms are very expansive as for what you get. Staff is helpful and knows English very well but the managers are very unpleasant. During a 40 days trip in Madagascar I had to stay there several times and I got the feeling that this place is managed by very greedy people."
183,Madagascar Underground,5,"Seriously best backpacker option in Tana, wonderful and friendly staff, very chill vibrant vibe and decent clean rooms. Food and beverage is pretty darn awesome too. Staff are also more than happy to help set you up with ways to explore …"
184,Madagascar Underground,5,"WONDERFUL ... JUST WONDERFUL PLACE IN TANA !!! I had a great 2 weeks staying at the hostel, very cool staff and epic vibes. Met so many people from different countries. I highly recommend this place ;) thanks again Madagascar Underground"
185,Madagascar Underground,4,"This is the best hostel in Tana. The rooms are expensive, but the staff is friendly and the atmosphere here is truly that of a hostel. The owners are a really nice and very helpful. They let guests use the kitchen and have a good dorm …"
186,Madagascar Underground,5,"Very trendy western-style hostel. Great for meeting other travellers. Located in a safe area of town, staff are amazing and speak almost every language."
187,Madagascar Underground,5,"This place is one of a kind in Tana. I’m a local so I never saw the rooms but if you just want to chill, play some board games or enjoy some mexican food : go there ! They host different kind of events weekly (gigs, game night...) so get on …"
188,Madagascar Underground,5,Really nice place to stay. they serve really good breakfast. The rooms and beds are quite good. Showers are okay.
189,Madagascar Underground,5,"THE PLACE TO BE!!
With its cozy decorations, and the good vibes, I could stay in this place forever. If you want to forget your stress and chill this is where you belong."
190,Madagascar Underground,2,The place is not clean enough and the food could have been better.
191,Maison d'Hôtes Three Palms,5,Stayed here for twice in different rooms and both are simple and clean. The host is kind and polite though it was a bit difficult to communicate as I don’t know French. …
192,Maison d'Hôtes Three Palms,4,Nice place
193,Maison d'Hôtes Three Palms,5,"Great staff! Very nice and helpful.
The room is very clean as well and the food in the restaurant very good."
194,Maison d'Hôtes Three Palms,4,"A simple, clean, nice and cheap place to stay. Great food with great prices. Recommended to people with small budget for accomodations"
195,Maison d'Hôtes Three Palms,5,"Good value for money, friendly staff, clean accommodation"
196,Maison d'Hôtes Three Palms,5," A great place to discover Fianarantsoa and its historic district, the new town and its extraordinary market every Tuesday and Friday. The guest house is at your service (one month stay), tailor-made menus to discover"
197,Maison d'Hôtes Three Palms,5,"(Translated by Google) Very recommended!
The proprietress is very kind, and the food here is very delicious and cheap and delicious, full of weight! …"
198,Maison d'Hôtes Three Palms,5, A very beautiful place to admire the city of Fianarantsoa. You will be warmly welcomed with a Malagasy atmosphere and a very friendly staff.
199,Maison d'Hôtes Three Palms,4, Rooms ok and very affordable.
201,Mantadia Lodge,4,Not yet stayed. Rooms are beautiful. Have eaten and food fabulous. Great hilltop location
202,Mantadia Lodge,3,"Amazing and peaceful place to rest , recomend it
The manager and staff are kind enough"
203,Mantadia Lodge,5,"A magic place to stay! A very good restaurant and, in my opinion, the best rooms in Madagascar. Clean, modern, with a fast internet connection (probably the best I've experienced on the island) and a astonishing view on the rain forest."
204,Mantadia Lodge,4,"A well laid out hotel with good food.
It is situated on the top of a hill. Rooms are modern clean and well laid out.
We stayed 2 nights and enjoyed our stay. We used it to visit the National park …"
205,Mantadia Lodge,5,The room is stunning and the beds are very comfortable. The food is very nice and the staff are very friendly. I would recommend anyone coming to stay in Madagascar to choose this as a lodge.
206,Mantadia Lodge,5,Everything about this trip was wonderful. The hotel was clean. Beds were comfortable. Rooms included air conditioner and a fireplace which the staff would light if you asked. The food was delicious. Everyone was super helpful and friendly. …
207,Mantadia Lodge,5,"This is a wonderful hotel. Beautiful, spacious, modern rooms. Lovely setting. Friendly and helpful staff and excellent food. I highly recommend it."
208,Mantadia Lodge,5,Beautiful views and north American level comfort. Best beds in Madagascar by far. Food was also top notch but selection is a bit limited. I recommend the nightly malagasy featured dish as it was excellent every night. Hot water in the shower but ran out quickly with 2 showers back to back. Great pool area. Drinks are bit pricey.
209,Mantadia Lodge,3,"Nice new hotel, clean spacious rooms. The staff were not really helpful or friendly. Food was OK and service around food was poor. They need some customer service training!"
210,Mantadia Lodge,4,"Mantadia lodge is the equivalent of a lower end boutique European hotel. The rooms are bright and incredibly comfortable. It would get five stars if it wasn’t for the food, you will pay a premium for both bland and uninventive dishes. We …"
