,review,rating,sentiment
36,"This boutique hotel is definitely top notch. The luxury lodges are spacious equipped with a verandah that makes the guest feel on top of the world. The views are stunning (although the sun sets right behind, so you will need to walk to the …",4,1
37,"Amazing place. The view from the second floor of my bungalow was really nice, the owner was very welcoming and the food was amazing. I highly recommend it.",5,1
38,Great place with swimming pools right on sea! The cottages built on sea are amazing and great for a lifetime stay!,5,1
39,Very well maintained hotel with lovely views and a beautiful garden,4,1
40,"My flight came in at 1:30 am, and the staff was still helpful at 3:00am. 25€ for the most basic room.. comes with soap, clean towels, toilet paper.. it was a great room! Slept very soundly.",5,1
41,"Warning: they rip you off when you call a taxi. They tell you to pay at the counter, but they pocket your money and still have to pay the taxi.
Then breakfast was said to be included on booking.com, but it’s an extra 4 euro …",2,0
42,Someone from the staff stole my wallet and there was not water everyday. I booked a shuttle from the airport to the hotel and never pick me up. For the breakfast you need to wait for at least two hours. Honestly very bad service.,1,0
43,The reception staffs were very kind and helpful,5,1
44,Super friendly staff!,5,1
45, Very nice staff. We were in a room on the side of the road. We slept badly because very noisy. The rooms are ok. The hotel is not a shame restaurant you have to go out to eat and the area is not very inviting ....,3,0
46, Very clean room Good attention at reception. Excellent the restaurant.,3,0
47," Photos much nicer than in reality. Staff friendly and helpful. For Malagasy standards, the hotel is fine.",2,0
48,"(Translated by Google) Undaunted customer, I made several nights not consecutive in this hotel because of its proximity to the airport and the wifi is good.
My first night did not discourage me, although one of the beds is dirty, we …",1,0
49, Ok hotel with very helpful and smiling staff.,5,1
53,"Very elegant, classy and sophisticated hotel. The amenities at the hotel and it is especially worth it to book some massages. My 7 night stay had me use the bar, pool and restaurant frequently. Great selection of safe food and good drinks. …",5,1
54,"Amazing hotel, clean rooms, good staff , and an amazing heated infinite pool.",5,1
55,"Very nice hotel and kitchen! Swimming pool under shadow, very useful in sunny or rainy days. Very nice seaview!",5,1
56,"Very nice hotel, nice rooms, super fast WiFi, pool and other amenities",5,1
57,Beautiful hotel with very friendly service! Totally is worth coming!,5,1
58,"Very good rooms, meal is perfect.",5,1
59,excellent service and Ambience,5,1
60,Very good food and stuff,5,1
61,Top class hotel,5,1
62,"(Translated by Google) Hotel with a very beautiful setting!
Having spent an afternoon to have access to the infinity pool I find however that it is not too worth it. Barely a few minutes in the pool after having made 2-3 …",3,0
63,"Anjiamarango was wonderful! The owner was incredibly welcoming and accommodating. In spite of covid, we were well looked after, and many details were handled without even needing to think of it. The pool was beautiful and clean, and our …",5,1
64,"Anjiamarango is quite possibly the most peaceful, remote, relaxed resort I have ever stayed at. The facilities are clean and the food is lovely. The staff and service are outstanding.",5,1
65,Good food and accommodation. Great staff who is always friendly and helpful. Beautiful scenery and close to the sea. Really a great place to relax and rest.,5,1
66,Philippe is a fantastic host. Nothing was too much trouble for him. Chalets very comfortable. Did not miss not having hot water. Excursions were all amazing. Massages were so good we each had four in seven days. Next time we will stay longer!!!,5,1
67,Quiet and relaxing place. Great meals.,4,1
68,"Phenomenal place, cannot recommend highly enough. This is The place to unwind, relax and enjoy the peace and quiet. There was not one part of our stay that should have been different.",5,1
69,"The best place to be in that island, if it's not the only. There will be things you'll be disturb about it like: the traveling vichles that you promised with is not true, will hurt your back and tired your whole body , some places you will not visit as the backagge point out. Be aware of what you pay..",4,1
70,"It's really great for a holiday as it is quiet and peaceful. Not too busy or touristy like the cities. However, there is no hot shower so just take note and request for hot water to be taken to your banglow if you need it.",4,1
71,"Loved the secluded beach, all the activities that were organised from the hotel reception, absolute friendly and professional staff and overall pampered experience!",5,1
72,What an amazing experience. The staff are so friendly and they go out of their way to make you as comfortable as possible. The accommodation is great. The restuarant has a wide variety of dishes to choose from. There are fantastic …,5,1
73,"The place is really top top top!
The only thing is: the internet in the room doesn’t work. And no mobile network too. The rooms are shockingly good! If you want to go to the park, ask for the guide named Xavier: this guy is just amazing and you will have lots of fun during the excursion!",4,1
74,"Second time we stayed here and it is simply an amazing place. A must do, the view, the staff, the rooms. We highly recommend this place, we tried all the other hotels around the area but this one a gem.",5,1
75,"After a hard a long day road on the N7, you finally get to see the first shape of Isalo National Park and its really shredded Rocky Mountains. And at the end of this road, Isalo Rock lodge , astonishing and breathtaking place. Well located, …",5,1
76,Luxurious,4,1
77,"We had a great, spacious room. Upkeep was perfect at this hotel, it looked brand new. Our bed was comfortable. We had a Jacuzzi room, it was perfect and we could see the TV while sitting in the hot tub. We liked that! It was a quiet hotel …",5,1
78,"The best hotel we had in Madagascar. Such great rooms and peaceful. Manager and staff were so kind and helpful. Paid 460 Ariari for super room with electricity 24/7. Only downside is the special bath (not the shower) had no warm water, they said maybe next year.",5,1
79,"Amazing design, local maintenance. Overall great place to stay.",5,1
80,Gorgeous.. hike without a guide. Kill for the sunset from the top of the rock,5,1
81,A well laid out Lodge with experienced courteous friendly staff. Great location with excellent rooms. Only let down is the restaurant food tends to be limited in scope,4,1
82,"Beautiful hotel with nice design on the room, but when you book the best room and the bathtube hasn’t have hot water, it’s just absolutely not normal for this kind of hotel. Especially when you have hot water on shower 🚿. Restaurant is …",4,1
83, Magical place,5,1
84, beautiful and authentic place,5,1
87,"Overpriced for what it is for. We did the hibachi, although the food was good, the experience of the hibachi was not what it should be... Only lighting up fire and playing with the eggs and that's it? Please make sure to make the show …",3,0
88,Big,4,1
89,stop with the fake review,1,0
90, Nice rooms ... But comfort is spoiled by inefficient air conditioning !! Very difficult to sleep with 26 ° ...: ((,2,0
91,"(Translated by Google) No complaints about the rooms, perfect.
On the other hand in terms of catering, I would have liked the prawns to be fresh, the canapota to be less fatty (too much oil and sauces) and that you really …",2,0
92, Luxurious hotel. Welcoming and professional staff,5,1
93,"(Translated by Google) Amazed to see little notes! It is great luxury! Careful staff, great comfort, very design and quality.
Small flat, the windows do not open, completely non-smoking hotel. …",5,1
94,"(Translated by Google) The hotel is very new, therefore comfortable and in good condition.
The staff are frankly very friendly. Wherever you are, you have the impression …",3,0
95, Wonderful hotel with superb welcome,5,1
96," I stayed at this establishment for business reasons. The place is great, located in a safe area near the expat area. As for the hotel, the staff are very nice and helpful. He speaks French very well. The rooms are",5,1
97,"(Translated by Google) April 2021 stay, one week with breakfast and meals, close to the airport
very warm welcome, attentive, accommodating, available, …",5,1
98," The owner couple is very dedicated and of a kindness that is more pleasant. I actively recommend them, the places are really nice",4,1
99, Superb!,5,1
100, Very good stay at Ecolodge Andafirôï in Mahajanga in a paradisiac place!,5,1
101," Calm place, interesting discoveries. The meals are very good",5,1
102," Very good stay at Andafirôï Lodge Resort in Mahajanga! We discovered the region and the animals of the forest (especially the lemurs of Madagascar), great experience and great staff.",5,1
104," In the middle of the Andasibe Nature Reserve, east of Madagascar. Preserved place still seen its situation. There are many endemic animals such as lemurs. To see at least once in his life.",5,1
105," Quiet, clean with parking and in addition the price is affordable. I highly recommend it to you. Thank you",5,1
106," Very quiet, I enjoyed the secure parking very much",5,1
107, I had a good rest during my visit to Toamasina,5,1
108, Luxurious,4,1
111,DO NOT COME HERE THERE IS RATS AND THE ROOM SERVICE GUY WAS SNIFFING MY CHIDREN,1,0
112,The view is super and the environment very neat. Hospitality good to go.,4,1
113,"Nice location with a nice views on Anosy lake. Food is not good. Rooms are clean. For food, I would recommend the Citizen which is on the other side of the lake, plus it is cheaper and super super good!",4,1
114,"Great entertainment over New Year's eve. The band was superb, played and sung to music from all over the world. Friendly staff that can speak both English and French. The food wasn't that great but the ambiance was excellent.",4,1
115,"It's a very good hotel. Secured, clean, excellent service. You can change money at the reception and there is a good bar and restaurant at the hotel. Most recommended for stay at Tana in Madagascar.",5,1
116,"Travel Back in Time to Classic Tana- once a very extravagant and spared-no-expense Hilton Hotel in the 1960s, in modern times the hotel has aged to a point no renovation can mask. However, it still has a classic elegant charm. Rooms are …",4,1
117,"I stayed here for 2weeks during my trip to Madagascar. It's a very cool hotel, with great room service, restaurants, bars, gym, gift shops and a night club. It was quite close to my office so I could simply walk and not have to beat the traffic. Will recommend to anyone visiting Tana",5,1
118,"Although the furniture and the decoration is a bit old, the hotel in general is very clean and quiet. Located, just at the heart of the Lower city. The breakfast is however kind of poor and it can be improved. Free wifi is working without problem. I didn't use the pool but it looks clean and well maintained as well.",4,1
119,"5 star luxury hotel by the ritz group in Antananarivo, madagascar.
Well maintained and spacious property, but the lighting in the rooms is warm and …",4,1
120,"Located in the center of Antananarivo, it is easy to spot as it is one of the few tall buildings in the area. In terms off accommodation it is up to satisfactory standards. If you go down to the restaurant, I especially recommend the sea bream fish which was quite delicious.",4,1
121,"Very nice quiet and clean Hotel with a pool.
Front desk and cleaning staff was very friendly. …",4,1
122, The lodges are few and well cared for in decor and cleanliness. Location close to the sea reachable in a few steps. Excellent cuisine. Friendly and helpful staff. I would go back and recommend it gladly.,4,1
123, Beautiful structure. A series of well-designed bungalows with verandas and kitchenettes arranged around a pool. Good breakfast and food. Access to the beach is easy. Italian owner and manager. For us it was a base,4,1
124," We stayed at the Zahir Lodge for a week in late September, after a week of touring the North… we couldn't have asked for better! An intimate and comfortable place, a few bungalows furnished with care and in style with",5,1
125, We stayed for a few days and had a great time the place is very nice well kept all very clean the very kind staff the manageress Laura always available for any need you eat well cared for dishes and good advice at,4,1
126, A small resort with Italian owners. The staff is always available and speaks Italian. The kitchen is excellent and the bungalows are very well kept and clean. Too bad for the slightly silty sea water. The location is,4,1
127," Quiet and relaxing place, excellent hospitality and excellent cuisine. Highly recommended !!",5,1
128," Just returned from a magnificent holiday, lived intensely starting from the structure, to the welcoming and helpful staff. But above all to the manager of the structure Laura who was helpful and friendly.",5,1
129," After my visit to the Zahir nights we were 8 and 3 nights at the Zahir Iranja. We were very good with excellent excursions on the islands Laura organized by the director of the Zahir nosy. Excellent food, care of the",4,1
130," Resort with luxurious bungalows furnished in lodge style and with local Malagasy crafts. Very very beautiful! The main and few bungalows revolve around a pleasant swimming pool. The structure, very clean, is well",4,1
131,"So, positives first:
Nice place, very friendly staff, amazing spa.
Négatives. Their POS accepts no cards. They constantly try to rip you off any …",3,0
132,Well I am always in aw of this place everytime I go here. The property is so charming. If anything you should always end your vacation dinner here.,5,1
133,One of the very good lodge for this beatiful Island. European standard services!,5,1
134,"Good location if you’re doing excursions or for any diving. Food is good but not amazing, the little touches are what sets it apart from other offerings. For instance, one evening we joined a talk that was being held by one of the marine biologists from the research centre in the lounge.",4,1
135,Absolutely amazing! The rooms are very clean and the food is great. They even have a private wine cellar so you can go down anytime and pick a bottle to enjoy. …,5,1
136,"My wife and I stayed for only two days, with every intention of relaxing. Better to stay for the week, because there's so much to do, that a short stay will make you sorry that you didn't stay longer. Fifu, the owner, will greet you …",5,1
137,"I really enjoyed the breakfast, the place is very beautiful and the beach is amazing. You can do here shnorcle and diving as well",5,1
138,"Pricy but worth every penny. Very attentive Staff, professional management, really excellent food, good amenities and situated on a beautiful island. Try the complimentary ""garden tour""
Highly recommended",5,1
139,"GRRRRRRR8 time really loved it was planning on honeymooning but my dog ran away. Aside from my soul mate leaving me I had a great time. The Hotel really brought color into my dark grey world. The only problem is when you fly home, you can feel an overwhelming surge of depression clutching your throat.",5,1
140,we would bike 30km down the coast just to eat breakfast - the croissants are world class!!,5,1
141,realy want to back again shortly,5,1
142," Hotel very well located, quite comfortable, friendly staff, helpful. Room sea view, flat screen TV, air conditioning, comfortable bed.",5,1
143,"(Translated by Google) Hotel well but need to improve the electricity and the water level when there is cut
I advise you to go there because we had beautiful moments over there …",3,0
144, Hotel still in the end of construction however it is very clean despite the work ... very welcoming and friendly staff .. especially Rudy at the reception ..,4,1
145,"(Translated by Google) A shame.hotel in work for months.the boss completely closed to discussion.room paid with telly while there is no TV in the room.
The hotel is new roof is already defective. Trouble lamp that flash all …",1,0
146,"(Translated by Google) Hotel still under construction at the time of my visit.
Friendly and attentive staff.
WIFI at reception only. …",2,0
147, You understand why you are charged the stay in advance. ....... noise of the bars in the room despite a double glazing that is useless. ...... False contacts in LED lamps that light up intermittently in the middle of,1,0
148, Very well,3,0
149, Inexpensive,3,0
151,"We had a great 5 nights, the staff and owners where fantastic very friendly and accommodating",4,1
152,A serene getaway place. And the service is just tres bien!,4,1
153," Beautiful home, great breakfast terrace thank you to owner",4,1
154," Very very well this site, I had a very good holiday",5,1
155," Impeccable service, welcoming, we return often. Guests put a point of safety and comfort of people",5,1
156,"(Translated by Google) Several types of bungalows for all tastes and all budgets. Prices are good. The kitchen too;)
The staff very friendly! …",4,1
157,"(Translated by Google) Magnificent place 50 m from the lagoon
Clean
Very welcoming staff at your service …",4,1
158,"(Translated by Google) Very pleasant and relaxing stay in a calm and green setting, a stone's throw from the large lagoon, its beach and its charming village.
The charming bungalow and its adjoining bathroom are simple and clean with …",4,1
159," Everything perfect, exemplary service and excellent cuisine at the best price",5,1
160, a good address for small budgets like us,4,1
161,"Close to the beach, it's a good place for a short stay, if you want to visit the town for a weekend",4,1
162,It's a nice property. But trash on the ground and beach. The hospitality leaves much to be desired. When we first arrived and checked in we were simply given a key and sent on our way. The AC doesnt work in our room. Next we went to get …,1,0
163,"Horrible personal!!! We were there for 7 night, they stole our money from our room and manager called us stupid when we were asking for police. I don't recommend this place!",1,0
164,Nice swimming pool with direct access to the beach. Good food at La taverne restaurant,4,1
165,Nice and quite place to spend your holidays. We had no opportunity to try their restaurant,4,1
166,Still under construction but AC and large rooms. Lots of potential to be very nice when finished.,4,1
167,electricity always black,1,0
168," Clean, welcoming person, kitchen open until 10pm for a low season. Infinity pool facing the sea. Deckchair and cushion available free of charge to the client.",5,1
169, Nice hotel,3,0
170, M good,5,1
171,"Hotel in nice old building, with spacious rooms with a nice ambiance. Rooms have hot water and wifi and if you're lucky even a small balcony. While lonely planet mentions the busy street as downside, this did not bother us at all. Prices are reasonable at 90000Ar for a double.",5,1
172,"Despite the older appearance of the hotel, we were happy with the basic amenities that were offered. Water runs hot, and the Wi-Fi connection was the fastest we’ve encountered (even faster than a luxury hotel’s). The staff member speaks …",4,1
173,"Good quality basic hotel, rooms need some improvement, restaurant is very nice. Good creme brulee! Peddlers and rickshaw drivers outside entrance can be bothersome.",4,1
174,"The guy in the reception gave us a wrong price for the taxi brousse to fianarantsoa and showed us a wrong Place in the map, where the official station should be. The next day we went to the place where only one unofficial taxi brousse was …",1,0
175,Good restsurant at affordable prices.,4,1
176," Comfortable, spacious, good location, very good value for money.",4,1
177, Comfortable and spacious hotel. A ttasi9et environment close to everything. Too bad there are only 4 channels on TV.,4,1
178," The boss, Dom, is nice and his establishment has a certain charm. The cuisine is varied and tasty. Recommended!",5,1
179, Everything has improved,2,0
180, Great quality / price,5,1
181,"Place quite close to downtown but far at the same time, which provide with both peace and connection to the city. It is placed in a hill next to the centre. Clean place, at least the independent high house on the stairs, rustic and very authentic. Staff is quite nice and a good local breakfast can be arranged.",4,1
182,"The only normal option for staying at Tana. Still, dorms and rooms are very expansive as for what you get. Staff is helpful and knows English very well but the managers are very unpleasant. During a 40 days trip in Madagascar I had to stay there several times and I got the feeling that this place is managed by very greedy people.",2,0
183,"Seriously best backpacker option in Tana, wonderful and friendly staff, very chill vibrant vibe and decent clean rooms. Food and beverage is pretty darn awesome too. Staff are also more than happy to help set you up with ways to explore …",5,1
184,"WONDERFUL ... JUST WONDERFUL PLACE IN TANA !!! I had a great 2 weeks staying at the hostel, very cool staff and epic vibes. Met so many people from different countries. I highly recommend this place ;) thanks again Madagascar Underground",5,1
185,"This is the best hostel in Tana. The rooms are expensive, but the staff is friendly and the atmosphere here is truly that of a hostel. The owners are a really nice and very helpful. They let guests use the kitchen and have a good dorm …",4,1
186,"Very trendy western-style hostel. Great for meeting other travellers. Located in a safe area of town, staff are amazing and speak almost every language.",5,1
187,"This place is one of a kind in Tana. I’m a local so I never saw the rooms but if you just want to chill, play some board games or enjoy some mexican food : go there ! They host different kind of events weekly (gigs, game night...) so get on …",5,1
188,Really nice place to stay. they serve really good breakfast. The rooms and beds are quite good. Showers are okay.,5,1
189,"THE PLACE TO BE!!
With its cozy decorations, and the good vibes, I could stay in this place forever. If you want to forget your stress and chill this is where you belong.",5,1
190,The place is not clean enough and the food could have been better.,2,0
191,Stayed here for twice in different rooms and both are simple and clean. The host is kind and polite though it was a bit difficult to communicate as I don’t know French. …,5,1
192,Nice place,4,1
193,"Great staff! Very nice and helpful.
The room is very clean as well and the food in the restaurant very good.",5,1
194,"A simple, clean, nice and cheap place to stay. Great food with great prices. Recommended to people with small budget for accomodations",4,1
195,"Good value for money, friendly staff, clean accommodation",5,1
196," A great place to discover Fianarantsoa and its historic district, the new town and its extraordinary market every Tuesday and Friday. The guest house is at your service (one month stay), tailor-made menus to discover",5,1
197,"(Translated by Google) Very recommended!
The proprietress is very kind, and the food here is very delicious and cheap and delicious, full of weight! …",5,1
198, A very beautiful place to admire the city of Fianarantsoa. You will be warmly welcomed with a Malagasy atmosphere and a very friendly staff.,5,1
199, Rooms ok and very affordable.,4,1
201,Not yet stayed. Rooms are beautiful. Have eaten and food fabulous. Great hilltop location,4,1
202,"Amazing and peaceful place to rest , recomend it
The manager and staff are kind enough",3,0
203,"A magic place to stay! A very good restaurant and, in my opinion, the best rooms in Madagascar. Clean, modern, with a fast internet connection (probably the best I've experienced on the island) and a astonishing view on the rain forest.",5,1
204,"A well laid out hotel with good food.
It is situated on the top of a hill. Rooms are modern clean and well laid out.
We stayed 2 nights and enjoyed our stay. We used it to visit the National park …",4,1
205,The room is stunning and the beds are very comfortable. The food is very nice and the staff are very friendly. I would recommend anyone coming to stay in Madagascar to choose this as a lodge.,5,1
206,Everything about this trip was wonderful. The hotel was clean. Beds were comfortable. Rooms included air conditioner and a fireplace which the staff would light if you asked. The food was delicious. Everyone was super helpful and friendly. …,5,1
207,"This is a wonderful hotel. Beautiful, spacious, modern rooms. Lovely setting. Friendly and helpful staff and excellent food. I highly recommend it.",5,1
208,Beautiful views and north American level comfort. Best beds in Madagascar by far. Food was also top notch but selection is a bit limited. I recommend the nightly malagasy featured dish as it was excellent every night. Hot water in the shower but ran out quickly with 2 showers back to back. Great pool area. Drinks are bit pricey.,5,1
209,"Nice new hotel, clean spacious rooms. The staff were not really helpful or friendly. Food was OK and service around food was poor. They need some customer service training!",3,0
210,"Mantadia lodge is the equivalent of a lower end boutique European hotel. The rooms are bright and incredibly comfortable. It would get five stars if it wasn’t for the food, you will pay a premium for both bland and uninventive dishes. We …",4,1
221," I don't know where to start. We spent two weeks with Tatiana and Captain and it was a wonderful holiday. They are a very nice and family couple. I like the entirely wooden chalets, the garden with many old trees and",5,1
222, An exceptional stay with this warm and welcoming family in a beautiful setting. A destination that promises great memories and an endless desire to return,5,1
223," Thanks to Tata and Captain for having us as old friends !! Not only to be welcoming, they are available, caring for their guests, just like their garden, an island of greenery, flowers, fruit trees ... The happiness",4,1
224," Thanks and Tata for this pleasant stay, we felt very comfortable with you almost like home. Thank you very much",5,1
225," Side service, forget the principle hotel, made as if you are invited to friends! Captain & Tatiana are at your service: they will meet you at the airport on request, often the day of your arrival you will have lunch",5,1
226, Pleasant,4,1
228,"Perfect!
Stayed for honeymoon trip
The staff is like family, helped us with everything we wanted. …",5,1
229,"Very nice hotel.
The food is excellent, the owners are charming people and the rooms are beautiful. …",5,1
230,Very nice hotel with amazing views and a wonderful itinerary. Staff is very nice and food was amazing,5,1
231,Best of the best amazing family you feel like at home. We will be back,5,1
232,"Wonderful place.
Emanuela and Ernesto are very kind and hospitable. We felt at home from the first day. …",5,1
233,"If you like unwelcoming, unhelpful service, and you enjoy over paying, this place may be for you.",1,0
234," I say with absolute certainty that it is a fairy tale, very well managed and with an Italian chef who combines local products with our best tradition. Exceptional in every sense precisely from the kitchen to the",5,1
235,"(Translated by Google) Superb bungalow excellent excellent beach restaurant. Very nice home. Rum arranged with wild pepper is divine.
It is held by two Italian ladies. The restaurant is very classy, it's Milan on …",4,1
236," Perhaps the best place on earth. I just haven't seen any spotted horses, but an inflatable flamingo.",5,1
237," After 6 hours of track that never seems to end, we arrived at the blue lagoon. We immediately felt that it was worth it. The place is truly magnificent and the structure fits perfectly into the environment: a system",5,1
238,I would highly recommend getting a room with air-conditioning if you are here during the summer time. The food is expensive and suggest eating elsewhere. Very reasonable price and good for budget travellers.,3,0
239,"Good place to stay, in a rather touristic environment. Be aware of the cockroaches though.",4,1
240,"This place was great! The food is very nice here. Rooms have a fan, an excellent shower and big, clean beds.",5,1
241,"Affordable place with comfy bed and pillows, hot shower throughout the day & friendly staff. I didn’t use the mosquito net as the room didn’t have any holes for them to sneak in. Only improvement: add a charging/plug by the bed. The only one in my room was located in the bathroom. Would def stay again.",4,1
242,Excellent place for vacation. Food excellent as well as rooms.,5,1
243,Joey location reasonable price. Mattress was a bit too soft.,4,1
244,"Nice decor and atmosphere, good service",4,1
245,"Nice place to be with family. Rooms are clean and the price are correct, they have hot water and free wifi.",4,1
246,The rooms are very nicr compared to other places in madagascar. The wifi works very well. We were not able to find hot water somehow. The shared rooms are affordable but privates can feel a little expensive. But everything is expensive in …,5,1
247,"Must take a night here, nice staff, fantastic garden, cozy room, wonderful breakfast.
While wifi signal is only in the lobby.",5,1
248,"Okish, but not great.
-The beach is muddy
-The pools are not crystal clear, to say it polite. …",3,0
249,"The beach is not pleasant at all, muddy. The rooms have bugs in them. The food will give u dirreah. It is far away from the city in the middle of nowhere. The staff speaks poor English. Dont recomend.",1,0
250, Just a dream vacation,5,1
251," Great hotel, we had a wonderful vacation.",5,1
252," I recommend. Delicious food, especially fish, fish. Fish soup. Although the breakfasts could be more varied. Private beach in Sakatia, transfer by hotel boat. In the taxi I lost my phone, the driver found me himself",5,1
253,"(Translated by Google) An ideal place to relax
Diving, private beach, where you can reach by motorboat, coral reef, where huge turtles often swim …",5,1
254," Nice .. and well positioned. Quiet to rest but close to everything. It is in front of Sakatja ... the island with turtles, where it has a private beach.",5,1
255," Magnificent, a postcard ❤️",5,1
256," Very nice service clean rooms good food and the beach on which the boat is transported for free 2 times a day has beautiful views like from the folders, deep pools one 1.80 second 2.80 meters deep.",5,1
257," Beautiful facility, clean, private beach reachable with very nice free shuttle service. The reduced size allows a more familiar relationship with the staff. No entertainment, only good quality live music on Friday",3,0
258,Special thanks to the enlightening staff and their wonderful services <3 You brightened my stay at your beautiful country. The room was very clean and the breakfast was a daily feast . I can definitely recommend these facilities and hope it …,5,1
259,"Lovely clean place with good WiFi, aircon and comfi bed. The best when you travel around and need accommodation for few days.",3,0
260," Had a wonderful stay at Sable Blanc! The staff meets every wish. The large rooms / suites are cleaned every day. The location of the hotel is unique, especially the suites whose terrace directly with a staircase to",5,1
261, Douka yatabare,5,1
262," Very welcome staff, bonus for the welcome juice and availability of staff always at your disposal to help you throughout the stay (do not hesitate to inquire with them), minimalist room, breakfast ok (with local",4,1
263," On the beach. Spacious apartments, 2 of which with direct access to the beach. Restaurants next door, the city center and lively bars within 10 minutes walk from the beach. Catering service in apartment in",5,1
264," Very pleasant staff. Simple hotel, the market is 1/4 hour walk away, room equipped for cooking. Take the opportunity to visit the islands of Nosy Comba and Tana Kily.",4,1
265," Passing through this particularly pleasant establishment at the edge of the beautiful beach Madirokely, welcome, service, cleanliness, staff, everything was perfect.",5,1
266," The setting is very nice, the 2 bedroom Baobab Apartment Suite is spacious and all details are there for a pleasant stay, the staff are very nice and attentive to our needs and whims :-). Thank you for your welcome",5,1
267," An excellent welcome, rooms very clean, personel smiling and very friendly.",5,1
